,chemical_symbol,electronegativity_oganov
0,H,3.04
1,He,4.42
2,Li,2.17
3,Be,2.42
4,B,3.04
5,C,3.15
6,N,3.56
7,O,3.78
8,F,4.0
9,Ne,4.44
10,Na,2.15
11,Mg,2.39
12,Al,2.52
13,Si,2.82
14,P,3.16
15,S,3.44
16,Cl,3.5
17,Ar,3.57
18,K,2.07
19,Ca,2.2
20,Sc,2.35
21,Ti,2.23
22,V,2.08
23,Cr,2.12
24,Mn,2.2
25,Fe,2.32
26,Co,2.34
27,Ni,2.32
28,Cu,2.86
29,Zn,2.26
30,Ga,2.43
31,Ge,2.79
32,As,3.15
33,Se,3.37
34,Br,3.45
35,Kr,3.37
36,Rb,2.07
37,Sr,2.13
38,Y,2.52
39,Zr,2.05
40,Nb,2.59
41,Mo,2.47
42,Tc,2.82
43,Ru,2.68
44,Rh,2.65
45,Pd,2.7
46,Ag,2.88
47,Cd,2.36
48,In,2.29
49,Sn,2.68
50,Sb,3.05
51,Te,3.14
52,I,3.2
53,Xe,3.12
54,Cs,1.97
55,Ba,2.02
56,La,2.49
57,Ce,2.61
58,Pr,2.24
59,Nd,2.11
60,Pm,2.24
61,Sm,1.9
62,Eu,1.81
63,Gd,2.4
64,Tb,2.29
65,Dy,2.07
66,Ho,2.12
67,Er,2.02
68,Tm,2.03
69,Yb,1.78
70,Lu,2.68
71,Hf,2.01
72,Ta,2.32
73,W,2.42
74,Re,2.59
75,Os,2.72
76,Ir,2.79
77,Pt,2.98
78,Au,2.81
79,Hg,2.92
80,Tl,2.26
81,Pb,2.62
82,Bi,2.69
83,Po,2.85
84,At,3.04
85,Rn,3.04
86,Fr,2.01
87,Ra,2.15
88,Ac,2.22
89,Th,2.62
90,Pa,2.33
91,U,2.45
92,Np,2.35
93,Pu,2.22
94,Am,2.28
95,Cm,2.31
96,Bk,2.08
97,Cf,2.18
98,Es,2.29
99,Fm,2.38
100,Md,2.47
101,No,2.06
102,Lr,2.1
103,Rf,2.27
104,Db,2.38
105,Sg,2.51
106,Bh,2.48
107,Hs,2.52
108,Mt,2.66
109,Ds,2.73
110,Rg,2.83
111,Cn,3.03
112,Nh,2.49
113,Fl,2.57
114,Mc,2.21
115,Lv,2.42
116,Ts,2.61
117,Og,2.59
