Matfealib name,Unit
ionization_energy,eV
oxidation_states,
screening_constant,
neutrons,
mass_number,
hardness,
softness,
Zeff_slater,
Zeff_clementi,
electrophilicity,eV
valence_electrons,
electron_n,
electron_p,
electron_configuration,
electrons_per_shell,
max_n,
max_l,
last_subshell,
unpaired_electrons,
spin_occupations,
spin_only_magnetic_moment,
oxides,
ion_electron_affinity,eV
description,
atomic_number,
atomic_radius_slater,pm
atomic_radius_rahm,pm
atomic_volume,cm^3/mol
atomic_weight,
atomic_weight_uncertainty,
density,g/cm^3
lattice_constant,Angstrom
lattice_structure,
electron_configuration_string,
electron_affinity,ev
proton_affinity,Kj/mol
chemical_name,
chemical_symbol,
periodic_number,
chemical_series,
block_periodic_table,
group_periodic_table,
mendeleev_number,
pettifor_number,
glawe_number,
covalent_radius_cordero,pm
covalent_radius_pyykko,pm
covalent_radius_pyykko_double,pm
covalent_radius_pyykko_triple,pm
covalent_radius_bragg,pm
vdw_radius,pm
vdw_radius_bondi,pm
vdw_radius_truhlar,pm
vdw_radius_rt,pm
vdw_radius_batsanov,pm
vdw_radius_dreidingff,pm
vdw_radius_uff,pm
vdw_radius_mm3ff,pm
vdw_radius_alvarez,pm
electronegativity_pauling,
electronegativity_allen,eV
electronegativity_ghosh,
electronegativity_allred-rochow,
electronegativity_cottrell-sutton,
electronegativity_gordy,
electronegativity_li-xue,
electronegativity_martynov_batsanov,
electronegativity_mulliken,
electronegativity_nagle,
electronegativity_sanderson,
metallic_radius_r,pm
metallic_radius_r12,pm
boiling_point,K
melting_point  ,K
thermal_conductivity,W/mK
heat_of_formation,Kj/mol
specific_heat_capacity,J/gK
evaporation_heat,Kj/mol
fusion_heat,Kj/mol
dipole_polarizability,a.u.
dipole_polarizability_uncertainty,a.u.
gas_phase_basicity,Kj/mol
c6_coefficient,a.u.
c6_coefficient_gb,a.u.
abundance_crust,mg/Kg
abundance_sea,mg/L
